company_name,building_name,raw_address
Mid America Apartments,MAA Point Place,"535 Brookwood Pointe Place, Simpsonville, SC 29681"
Mid America Apartments,MAA Cloverdale,"1421 Cloverdale Cir, Hixson, TN 37343"
Mid America Apartments,MAA Windridge,"1175 Pineville Road, Chattanooga, TN 37405"
Mid America Apartments,MAA Hamilton,"6574 E. Brainerd Rd, Chattanooga, TN 37421"
Mid America Apartments,MAA Heritage Park,"7710 E Brainerd Rd, Chattanooga, TN 37421"
Mid America Apartments,MAA Dexter Lake,"1505 Dexter Lake Drive, Cordova, TN 38016"
Mid America Apartments,MAA Kirby Station,"6653 North Quail Hollow, Memphis, TN 38120"
Mid America Apartments,MAA Southwind,"8345 Championship Dr., Memphis, TN 38125"
Mid America Apartments,MAA Park Estate,"960 Catbird Court, Memphis, TN 38119"
Mid America Apartments,MAA Murfreesboro,"150 West Thompson Lane, Murfreesboro, TN 37129"
Mid America Apartments,MAA Brentwood,"One Derby Trace, Nashville, TN 37211"
Mid America Apartments,MAA Cool Springs,"1001 Midwood St, Franklin, TN 37067"
Mid America Apartments,MAA Park,"5900 Old Hickory Blvd., Hermitage, TN 37076"
Mid America Apartments,MAA Charlotte Ave,"2400 Charlotte Avenue, Nashville, TN 37203"
Mid America Apartments,MAA Acklen,"111 Acklen Park Drive, Nashville, TN 37203"
Mid America Apartments,MAA Nashville West,"7100 Sonya Dr, Nashville, TN 37209"
Mid America Apartments,MAA Sam Ridley,"1000 Colonnade Drive, Smyrna, TN 37167"
Mid America Apartments,MAA Monthaven Park,"126 Monthaven Blvd, Hendersonville, TN 37075"
Mid America Apartments,MAA Indian Lake,"245 Indian Lake Blvd, Hendersonville, TN 37075"
Mid America Apartments,MAA Bellevue,"2828 Old Hickory Boulevard, Nashville, TN 37221"
Mid America Apartments,MAA Kennesaw Farms,"1060 Kennesaw Blvd, Gallatin, TN 37066"
Mid America Apartments,MAA East Austin,"6600 Ed Bluestein, Austin, TX 78723"
Mid America Apartments,MAA West Austin,"4330 Bull Creek Road, Austin, TX 78731"
Mid America Apartments,MAA South Lamar,"1500 South Lamar, Austin, TX 78704"
Mid America Apartments,MAA Cedar Park,"3000 Colonial Parkway, Cedar Park, TX 78613"
